,Unnamed: 0,id,latitude,longitude,time,edge,speed,traj_future,angle,time1
0,48,0,11148.0,27536.0,0.0,414404145,0.9440000000000002,414504146.0,0.0,9-10
1,98,0,11111.562247535358,27564.425744729244,60.0,414504146,0.944,414504146.0,142.04156767644875,9-10
2,148,0,11053.45880441606,27574.672202540736,120.0,414504146,0.944,414504146.0,169.99880156668078,9-10
3,198,0,10995.355361296764,27584.918660352232,180.0,414504146,0.944,414504146.0,169.9988015666767,9-10
4,248,0,10937.251918177468,27595.165118163724,240.0,414504146,0.944,414504146.0,169.99880156668047,9-10
5,298,0,10879.148475058171,27605.41157597522,300.0,414504146,0.944,414504146.0,169.99880156667697,9-10
6,348,0,10821.045031938876,27615.65803378672,360.0,414504146,0.944,414504146.0,169.9988015666732,9-10
7,398,0,10762.94158881958,27625.90449159821,420.0,414504146,0.944,414504146.0,169.99880156668394,9-10
8,448,0,10704.838145700283,27636.1509494097,480.0,414504146,0.944,414604387.0,169.99880156668047,9-10
9,498,0,10671.510892879973,27687.08714303978,540.0,414604387,2.144,414604387.0,123.19648852422213,9-10
10,548,0,10688.131547314926,27820.05237851941,600.0,414604387,2.144,438704457.0,82.8749836510984,9-10
11,598,0,10709.154958724925,27952.37021064728,660.0,438704457,2.144,391804458.0,80.97198492549255,9-10
12,648,0,10767.2117954093,28071.27099969869,720.0,391804458,2.144,391804458.0,63.9746841626155,9-10
13,698,0,10844.109499920458,28181.01043217815,780.0,391804458,2.144,391804458.0,54.97992114574362,9-10
14,748,0,10921.007204431617,28290.749864657617,840.0,391804458,2.144,441804459.0,54.979921145744505,9-10
15,798,0,10999.563600430398,28399.29573152368,900.0,441804459,2.144,441804459.0,54.10613362410175,9-10
16,848,0,11080.19378674074,28506.32270501896,960.0,441804459,2.144,388804418.0,53.00697407769741,9-10
17,898,0,11160.899266255075,28613.29271248513,1020.0,388804418,2.144,388804418.0,52.96660409714984,9-10
18,948,0,11241.968610327316,28719.987423936527,1080.0,388804418,2.144,388803889.0,52.771510363379164,9-10
19,998,0,11323.209462674376,28823.648050193464,1140.0,388803889,1.424,388803889.0,51.91350939534569,9-10
20,1048,0,11411.101365360018,28809.647570119643,1200.0,388803889,1.424,388803889.0,-9.050721677184729,9-10
21,1097,0,11498.99326804566,28795.647090045823,1260.0,388803889,1.424,388803889.0,-9.050721677184729,9-10
22,1147,0,11586.885170731304,28781.64660997201,1320.0,388803889,1.424,388903890.0,-9.050721677179919,9-10
23,1197,0,11674.353779652163,28765.77251695176,1380.0,388903890,1.424,388903890.0,-10.286272831947365,9-10
24,1247,0,11759.727992039336,28740.6280571391,1440.0,388903890,1.424,408004438.0,-16.410784596878596,9-10
25,1297,0,11841.73432803471,28712.405734314747,1500.0,408004438,0.944,408004438.0,-18.9908031456025,9-10
26,1347,0,11874.52467096386,28663.35684634989,1560.0,408004438,0.944,408004438.0,-56.236334852956674,9-10
27,1397,0,11907.31501389301,28614.30795838504,1620.0,408004438,0.944,408004438.0,-56.23633485294931,9-10
28,1446,0,11940.10535682216,28565.259070420187,1680.0,408004438,0.944,408004438.0,-56.236334852954705,9-10
29,1495,0,11972.89569975131,28516.21018245533,1740.0,408004438,0.944,408004438.0,-56.2363348529552,9-10
30,1545,0,12005.68604268046,28467.16129449048,1800.0,408004438,0.944,408004438.0,-56.23633485295078,9-10
31,1595,0,12038.47638560961,28418.112406525623,1860.0,408004438,0.944,408004438.0,-56.2363348529552,9-10
32,1645,0,12071.26672853876,28369.06351856077,1920.0,408004438,0.944,408004440.0,-56.23633485295274,9-10
33,1695,0,12110.358071550196,28325.144255145704,1980.0,408004440,0.944,408104082.0,-48.328589043814105,9-10
34,1745,0,12142.005699006328,28279.161917494726,2040.0,408104082,0.944,408104082.0,-55.46206765186723,9-10
35,1795,0,12187.330754502573,28241.391037914524,2100.0,408104082,0.944,408104082.0,-39.80557109226407,9-10
36,1845,0,12232.655809998818,28203.62015833432,2160.0,408104082,0.944,408104082.0,-39.80557109226407,9-10
37,1895,0,12277.980865495065,28165.849278754114,2220.0,408104082,0.944,408104082.0,-39.80557109226565,9-10
38,1945,0,12323.305920991308,28128.078399173908,2280.0,408104082,0.944,408104082.0,-39.80557109226791,9-10
39,1993,0,12368.630976487551,28090.307519593705,2340.0,408104082,0.944,397804082.0,-39.80557109226519,9-10
40,2042,0,12403.835703507506,28044.96578844817,2400.0,397804082,0.9440000000000002,397804082.0,-52.173126195079846,9-10
41,2092,0,12427.27186084866,27990.820183556545,2460.0,397804082,0.9440000000000002,397804082.0,-66.59531044896612,9-10
42,2142,0,12450.708018189816,27936.67457866491,2520.0,397804082,0.9440000000000002,384403978.0,-66.59531044896568,9-10
43,2192,0,12474.451631385944,27882.663103839044,2580.0,384403978,0.944,384403978.0,-66.26955921642408,9-10
44,2242,0,12498.199123377282,27828.653321168484,2640.0,384403978,0.944,384403978.0,-66.26544963290411,9-10
45,2292,0,12521.94661536862,27774.64353849792,2700.0,384403978,0.944,384403978.0,-66.26544963290553,9-10
46,2342,0,12545.694107359956,27720.63375582736,2760.0,384403978,0.944,384404645.0,-66.26544963290733,9-10
47,2391,0,12570.792434601151,27667.310693942207,2820.0,384404645,0.944,384404645.0,-64.79437104782056,9-10
48,2441,0,12600.435059109,27616.29780525428,2880.0,384404645,0.944,464204645.0,-59.839939161913826,9-10
49,2490,0,12630.41690216315,27565.483977599684,2940.0,464204645,0.944,464204645.0,-59.45798604106323,9-10
50,2540,0,12660.495243190951,27514.72677711527,3000.0,464204645,0.944,385304642.0,-59.349332042946905,9-10
51,2590,0,12690.880750947532,27464.15354191277,3060.0,385304642,0.944,385304084.0,-59.001629582361964,9-10
52,2639,0,12720.28345092563,27413.003960880145,3120.0,385304084,0.944,398904084.0,-60.10809352288822,9-10
53,2689,0,12761.896287102383,27374.687991834428,3180.0,398904084,0.944,398904084.0,-42.63802856940836,9-10
54,2739,0,12814.390764131118,27347.756042750123,3240.0,398904084,0.944,398904085.0,-27.159795692293986,9-10
55,2789,0,12866.783161859848,27320.627793073865,3300.0,398904085,0.944,398904085.0,-27.37466062049694,9-10
56,2839,0,12918.97802875633,27293.11968754734,3360.0,398904085,0.944,408504086.0,-27.790442479453347,9-10
57,2889,0,12976.4442916547,27301.435867601213,3420.0,408504086,0.944,408504086.0,8.234344532280158,9-10
58,2939,0,13034.350665176404,27312.7430292948,3480.0,408504086,0.944,408604423.0,11.048905671656044,9-10
59,2988,0,13092.234716619358,27323.8838271278,3540.0,408604423,0.944,408604423.0,10.894355754824117,9-10
60,3037,0,13145.112311831295,27297.7120880835,3600.0,408604423,0.944,442304427.0,-26.33308572578722,5-6
61,3086,0,13193.164130644083,27279.679201392617,3660.0,442304427,0.624,442304427.0,-20.570108993783666,5-6
62,3136,0,13209.535453392142,27315.076655983008,3720.0,442304427,0.624,442304427.0,65.17945866450752,5-6
63,3186,0,13225.906776140198,27350.474110573403,3780.0,442304427,0.624,442304427.0,65.1794586645122,5-6
64,3236,0,13242.278098888257,27385.8715651638,3840.0,442304427,0.624,442304427.0,65.17945866451201,5-6
65,3286,0,13258.649421636312,27421.26901975419,3900.0,442304427,0.624,442304427.0,65.17945866451014,5-6
66,3336,0,13248.628677251943,27399.602545409605,4020.0,442304427,0.624,442304427.0,-114.8205413354856,5-6
67,3386,0,13232.257354503889,27364.20509081921,4080.0,442304427,0.624,442304427.0,-114.82054133548537,5-6
68,3436,0,13215.88603175583,27328.80763622882,4140.0,442304427,0.624,442304427.0,-114.82054133549248,5-6
69,3517,0,13199.514709007772,27293.41018163843,4200.0,442304427,0.624,408604423.0,-114.82054133549248,5-6
70,3567,0,13165.623990529744,27287.559843071136,4260.0,408604423,0.944,408604423.0,-170.20591814678104,5-6
71,3616,0,13112.746395317808,27313.73158211543,4320.0,408604423,0.944,408504086.0,153.66691427421833,5-6
72,3666,0,13056.81305068219,27317.129175577,4380.0,408504086,0.944,408504086.0,176.5239184554008,5-6
73,3715,0,12998.906677160488,27305.822013883408,4440.0,408504086,0.944,408504086.0,-168.95109432834016,5-6
